syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type,synapse_area,pre_area,post_area,pre_post_area_ratio,perimeter,circularity,mean_intensity,median_intensity,std_intensity,pre_post_distance,jaccard_index,pre_overlap,post_overlap,major_axis_length,minor_axis_length,pre_contrast,pre_homogeneity,pre_energy,pre_correlation,post_contrast,post_homogeneity,post_energy,post_correlation,pre_25th,pre_median,pre_75th,post_25th,post_median,post_75th,pre_post_median_ratio,pre_post_iqr_ratio,pre_intensity_range,post_intensity_range,pre_perimeter,post_perimeter,pre_solidity,post_solidity,pre_eccentricity,post_eccentricity
17651267,864691135952731171,864691135491341799,1192,23P,E,23P,E,9736,2550,7186,0.3548566657389368,577.6711395993652,0.3666309192375364,124.20737066666666,124.0,6.434346868861553,45.59677788728289,0.0,0.0,0.0,137.05159311833285,104.23854576803255,311.05408795399774,0.9023279283641781,0.8818929565893812,0.9662018396229259,573.9396315481317,0.7310953267048224,0.6719392929383589,0.9714507992244774,119.0,124.0,129.0,119.0,124.0,128.0,1.0,1.1111111111111112,31,31,283,261,0.8787043418332184,0.7039576802507836,0.716239441176926,0.9231629633793765
276297149,864691135741023851,864691135737783684,2272,5P-IT,E,BC,I,5944,2868,3076,0.9323797139141743,356.3269478283311,0.5882898143510261,130.95786074074073,129.0,7.42549416147426,48.338704599789295,0.0,0.0,0.0,110.62952666962168,76.04223128163453,331.26562617299646,0.8932608810973497,0.8675088851925872,0.9697855114592394,284.8967429395102,0.8857050436794629,0.8583948906495591,0.9716351027492364,125.0,130.0,136.0,125.0,130.0,136.0,1.0,1.0,34,34,273,269,0.9326829268292683,0.9709595959595959,0.8599229587082784,0.5260194085268133
33691581,864691135182770946,864691136391367039,2836,23P,E,4P,E,4073,2536,1537,1.649967469095641,417.0548698896889,0.2942645057748986,133.22603407407408,133.0,8.409967129298186,24.665587276782695,0.0,0.0,0.0,32.148490408859466,20.573939619664344,297.8452943561124,0.9001414759913707,0.882427651341134,0.9671783290420434,297.8770127471763,0.9384136984981539,0.9281658876168082,0.9475441662004098,127.0,133.0,140.0,127.0,133.0,140.0,1.0,1.0,40,40,269,87,0.8799444829979182,0.28907278540530373,0.8166576701739218,0.9922503779585256
488095839,864691136419378583,864691136123728678,4624,6P-CT,E,6P-CT,E,8543,6036,2507,2.407658556043079,460.611219075793,0.5060008503775619,137.83639525925926,136.0,10.241638222901996,42.519905965259326,0.0,0.0,0.0,138.36537416822026,93.36773102010058,534.4873820248375,0.7750352791584367,0.7233780621612815,0.9699217133170379,273.9551161359118,0.9060220278307066,0.8841399476858762,0.9725794172067397,129.0,136.0,146.0,129.0,136.0,146.0,1.0,1.0,41,41,235,245,0.856777856635912,0.960536398467433,0.9424083566840213,0.7250586051313995
343141847,864691135699584802,864691136663178974,19980,23P,E,4P,E,8545,4805,3740,1.28475935828877,379.32085117392114,0.7462915052468396,131.59712296296297,132.0,7.820153149281249,52.692461293525625,0.0,0.0,0.0,134.65874766901933,82.02027549743235,366.86495000225455,0.8137122883641634,0.7803855062316194,0.9767079711281115,322.83625767608356,0.8533509025953983,0.8279332424969217,0.9754969814024879,126.0,132.0,137.0,126.0,132.0,137.0,1.0,1.0,37,37,337,313,0.9588904410297345,0.9535951045385007,0.8591955308110344,0.8177436668277147
12680479,864691135569900166,864691135385277781,2056,23P,E,23P,E,12418,7118,5300,1.3430188679245283,661.4690834520619,0.35665015631775215,133.2319525925926,132.0,9.67039821053637,85.27865230679123,0.0,0.0,0.0,111.52356203405813,85.86937676623951,356.5431720042676,0.73290050318663,0.6774878000671576,0.9799284464959885,344.7236255874392,0.7952841501622425,0.7590615631118679,0.979444173354004,126.0,133.0,143.0,126.0,134.0,143.0,0.9925373134328358,1.0,42,42,319,288,0.9067515923566879,0.9402164271775767,0.6380846359054864,0.6895281998652586
71461886,864691135741216363,864691135816469327,1796,4P,E,4P,E,4904,2975,1929,1.5422498703991705,378.14927829866735,0.43095683573334537,128.26162251851852,128.0,7.414649315552207,66.01310966238962,0.0,0.0,0.0,153.128742741964,43.779327413495174,297.02356432893623,0.884718739195747,0.8632230092718767,0.9725626245008654,256.0538980976854,0.9257729243478785,0.9102911593407954,0.9652638778625203,123.0,128.0,134.0,123.0,128.0,134.0,1.0,1.0,33,33,262,227,0.8971652593486128,0.9190090519294902,0.8422670942039986,0.8928408785098647
445571020,864691135927170563,864691135385310549,16988,4P,E,4P,E,9153,4132,5021,0.8229436367257519,527.747258045114,0.41297271153755766,129.43956266666666,130.0,6.208986658766431,69.1742616897368,0.0,0.0,0.0,145.5908262764241,71.54464145824295,317.0073562001729,0.842807913573076,0.8116876374100919,0.9772719742885043,500.08834819753133,0.8101643154449595,0.7695904486858242,0.970021062181052,125.0,129.0,133.0,125.0,130.0,133.0,0.9923076923076923,1.0,35,35,259,319,0.938877527834583,0.7904596977329975,0.6892755719331103,0.8649915112150268
480083496,864691135012483062,864691135938057988,2260,5P-IT,E,6P-IT,E,6121,2971,3150,0.9431746031746032,552.8538597629122,0.2516584698020244,140.0388242962963,140.0,6.91683067596302,100.12770925696377,0.0,0.0,0.0,229.66730603837692,54.36783315692902,333.7590100295794,0.8963140296724671,0.8646065080092471,0.972299774016594,391.40895552753,0.8900278736741329,0.855331350283173,0.9692228970968179,137.0,140.0,145.0,137.0,140.0,145.0,1.0,1.0,32,32,5,306,0.7444249561513405,0.6725021349274125,0.9170254132584335,0.9170307304555615
230535055,864691136588920994,864691135858920040,3904,5P-IT,E,4P,E,4643,2040,2603,0.7837111025739532,304.350288425444,0.62988477683057,139.36264948148147,140.0,8.626117723704612,52.137686873434056,0.0,0.0,0.0,120.6452170601809,51.26428057883953,284.8671195741949,0.9252079485919977,0.9053573672414095,0.9643748129608675,266.3315093914709,0.9057690694278472,0.8799701383921291,0.9737776650276504,132.0,140.0,147.0,132.0,140.0,146.0,1.0,1.0714285714285714,34,34,233,233,0.8482328482328483,0.978939450921399,0.710834139624941,0.4983967690753839
382546414,864691135303825575,864691135940631718,9972,23P,E,23P,E,6750,1959,4791,0.408891671884784,333.25588001646554,0.7637619089448088,130.27666666666667,131.0,8.622303765364695,42.30168017399059,0.0,0.0,0.0,105.01414968832835,83.42639208493961,325.6899719231884,0.9246076169552432,0.9081605741806082,0.9539027647298882,382.24956773719157,0.8186266775473912,0.780421991022406,0.9766539709668558,125.0,131.0,136.0,125.0,131.0,136.0,1.0,1.0,37,37,283,349,0.6964095271951654,0.9528639618138425,0.9383448877806206,0.5755539379450545
92386963,864691136811793779,864691135502130498,1140,5P-IT,E,BC,I,7850,6824,1026,6.651072124756335,419.5046173579947,0.5605392525709214,138.9365925925926,139.0,6.52647782758964,50.69697564904441,0.0,0.0,0.0,133.38477468806792,81.10239984959672,407.1742538624406,0.748891069583776,0.6901968153549125,0.9798151550238088,171.94638890140254,0.9595194080614705,0.9518431061345165,0.9590929667963586,135.0,139.0,143.0,135.0,139.0,143.0,1.0,1.0,34,34,354,155,0.9403334711313215,0.9725118483412323,0.8642067853701826,0.8065887383623285
116013029,864691135992392641,864691136297873435,6696,6P-IT,E,MC,I,7840,4475,3365,1.3298662704309063,404.54015126392744,0.6020085532199052,130.97463703703704,132.0,9.049346674684765,53.57864361354518,0.0,0.0,0.0,127.5692947027763,82.38765130614541,310.14132584118045,0.8361277516409469,0.7955374598057083,0.9798531886730962,317.86595889074306,0.8767593405568415,0.8449013072534234,0.9742114160089406,125.0,132.0,138.0,125.0,132.0,138.0,1.0,1.0,40,40,295,295,0.9679861561756435,0.5864412687347508,0.7222004225701283,0.879806599178473
227189471,864691136683855990,864691136741798748,6484,4P,E,5P-ET,E,10462,5481,4981,1.100381449508131,501.20310216782974,0.5233558451266541,129.1050471111111,129.0,7.599777915420062,72.16820431901084,0.0,0.0,0.0,175.25146221411438,86.1673793194224,386.15344849331325,0.792239205295985,0.7503847579822394,0.9778530990825975,370.27796765911745,0.8110443259804243,0.7721035986229846,0.9766412658549868,124.0,129.0,134.0,124.0,129.0,134.0,1.0,1.0,40,40,338,350,0.8684836000633814,0.9111029815255167,0.818272924720641,0.8605693566543267
499918848,864691135684989623,864691135334756073,5976,4P,E,MC,I,9255,1874,7381,0.25389513616041187,392.24978336205567,0.7558939377260322,134.31167555555555,133.0,7.283998330683669,43.64086321613173,0.0,0.0,0.0,136.92247245352942,87.41466541122453,352.5649731243353,0.9272327482520463,0.9120194367201628,0.9531769944223542,317.08105505758203,0.7396497261005863,0.6670317748755681,0.9846461618090907,128.0,133.0,140.0,128.0,133.0,140.0,1.0,1.0,32,32,95,290,0.3837804628302273,0.9358437935843794,0.8582089600783229,0.7889099573196948
87737594,864691135776631904,864691136134683787,1216,23P,E,23P,E,19132,9349,9783,0.9556373300623531,586.1492782986674,0.699767498052543,126.91221096296296,125.0,9.790004474130463,65.39136011021198,0.0,0.0,0.0,177.16592861265948,146.56084521266902,463.0046515172031,0.640793723425032,0.5773227420789195,0.9779429504755472,377.6457340510228,0.6232355206934154,0.5592635384876375,0.9831834295270084,119.0,126.0,134.0,119.0,126.0,134.0,1.0,1.0,44,44,433,324,0.8123207924233209,0.9471391228579727,0.9099102505461998,0.70581643511056
23054486,864691135373858248,864691136389096208,2336,BC,I,MC,I,3908,2509,1399,1.7934238741958541,292.11374439273465,0.5755200202270498,129.75347674074075,129.0,6.1579309825904955,39.758709308890545,0.0,0.0,0.0,92.50727759502871,61.09343413578264,307.6354608651276,0.9060165947586829,0.8836132340957683,0.9655366936443466,192.33332492530477,0.946671665804666,0.9345845786891499,0.9628698110901741,125.0,129.0,134.0,125.0,129.0,134.0,1.0,1.0,28,28,277,195,0.8360546484505165,0.9575633127994524,0.7180457237563969,0.7977808739805529
440601418,864691135782883891,864691135490885991,4084,4P,E,23P,E,4369,1362,3007,0.4529431326903891,315.4213562373095,0.5518356062947533,126.66258903703704,127.0,4.850383695154493,37.05610894967161,0.0,0.0,0.0,86.98345560821008,69.9952935651333,268.3006768463896,0.9461675469617842,0.9359999039922534,0.9534882529977955,354.6641861477733,0.8842886922493696,0.8609988405633554,0.9695962484652106,124.0,127.0,130.0,124.0,127.0,130.0,1.0,1.0,26,26,209,303,0.8190018039687312,0.8685730791450029,0.762444979957735,0.7881659225491279
309415732,864691135584813944,864691135577732613,3888,23P,E,4P,E,3944,2863,1081,2.6484736355226643,302.8944443027283,0.5402119104400062,131.11408,130.0,6.156421108461564,47.16921813315339,0.0,0.0,0.0,114.1025521882645,48.627737771443414,335.22027258532114,0.8894084477548672,0.8682200713838413,0.9694299346969458,194.79267675630297,0.9585529101645798,0.9493195457246404,0.9577259853055389,127.0,130.0,135.0,127.0,130.0,135.0,1.0,1.0,30,30,259,163,0.9020163831127914,0.942458587619878,0.8958604719032884,0.6498244229780706
460404298,864691135917899523,864691136594944930,180,MC,I,BC,I,1508,1168,340,3.4352941176470586,178.40916292848974,0.5953562187934697,138.29828385185186,139.0,8.120123174764903,29.738791991575045,0.0,0.0,0.0,65.50230073782583,31.845666331143764,205.58271624401465,0.9542101602690818,0.9452225083883492,0.9581658251306525,118.50602840712943,0.9863457241788077,0.9834460394806244,0.9210377384851015,131.0,139.0,145.0,131.0,139.0,145.0,1.0,1.0,47,47,179,101,0.9351481184947958,0.9164420485175202,0.7158729296121703,0.7797310108574629
495381571,864691135889536649,864691136010952611,4020,4P,E,BC,I,10132,5254,4878,1.0770807708077081,524.1553749530773,0.46343086817878965,126.55180088888889,125.0,7.777854636208135,65.47581331598296,0.0,0.0,0.0,150.30411281276983,99.93487698662513,432.79844286293815,0.8057802120665607,0.7668986729529157,0.9700709576160683,292.7029214149553,0.8124800150132837,0.7783308221230812,0.9794193851237438,121.0,126.0,131.0,121.0,126.0,131.0,1.0,1.0,45,45,377,270,0.8501618122977346,0.972488038277512,0.8063713417702296,0.6402761823667886
440322376,864691135292725174,864691136009341870,15468,6P-IT,E,6P-CT,E,9179,6293,2886,2.1805266805266803,394.2914139223983,0.7419430890758528,131.1824482962963,131.0,7.699854584287847,51.1650014885147,0.0,0.0,0.0,131.59789931810386,90.19366982565357,463.0291069471364,0.7763567040811867,0.7122573358041849,0.9760480567914976,378.90102562947754,0.8968861887005862,0.8660323879228125,0.9668094720670395,125.0,131.0,137.0,125.0,130.0,137.0,1.0076923076923077,1.0,31,31,399,331,0.925849639546859,0.7632901348849511,0.7563991763425526,0.9025111544218718
447696108,864691135576171038,864691136024984377,3152,23P,E,MC,I,5442,1946,3496,0.5566361556064073,335.86500705120545,0.6062320395228117,135.63887822222222,136.0,10.89127487463924,34.23439335269606,0.0,0.0,0.0,101.1411728327486,76.30817065249488,358.53406137861856,0.926412132796165,0.9087350211320597,0.9529024435756743,350.23300406888757,0.8685123297335308,0.8394424419813276,0.9722091121230992,125.0,136.0,145.0,125.0,136.0,145.0,1.0,1.0,39,39,283,311,0.7266616878267363,0.8296155671570954,0.870506153127355,0.8950825089001777
180714978,864691135387576193,864691135505793476,3408,4P,E,6P-CT,E,6897,1468,5429,0.27039970528642476,366.0904037956217,0.6466859119987475,139.21289777777778,139.0,9.969944827808764,57.23735042063007,0.0,0.0,0.0,120.15926590819468,80.62010641333664,238.98969123012645,0.9431279159213638,0.931688926686466,0.9551297998917996,346.2237800099127,0.7909203790638765,0.7516349884124267,0.9792264531572961,133.0,139.0,144.0,132.0,139.0,145.0,1.0,0.8461538461538461,55,55,165,359,0.564398308342945,0.9717200644352962,0.6600304801360671,0.5923214241230007
35538665,864691136418608791,864691137021188974,10032,5P-IT,E,MC,I,10307,1974,8333,0.23688947557902315,428.8599564173221,0.7042245254836328,133.37822014814816,133.0,6.636852391584651,59.181881485739574,0.0,0.0,0.0,153.20552573191463,89.52458621633647,274.29599297329116,0.924552658497451,0.9083406136737555,0.9659105048042476,461.46323859285803,0.6872941361256761,0.621948105660412,0.9793873038502191,128.0,133.0,137.0,129.0,133.0,137.0,1.0,1.125,39,39,217,410,0.970978848991638,0.9403069284585872,0.8217479638378592,0.8609972408553291
345589386,864691136965850574,864691135569910406,4740,MC,I,4P,E,11487,5730,5757,0.9953100573215217,521.58787847868,0.5305929865406874,124.53161511111111,124.0,5.604201086513826,83.38875274485426,0.0,0.0,0.0,195.80756487684178,82.8467000603118,308.30643379427477,0.792218600913231,0.7414801502543473,0.9838691619029747,392.5932734261233,0.787776166276974,0.7380803889366896,0.9792814193127655,121.0,124.0,129.0,121.0,124.0,129.0,1.0,1.0,23,23,249,333,0.954045954045954,0.9727948631294356,0.8037190007764912,0.850054568427713
490193188,864691135213072952,864691136419793559,5656,4P,E,BC,I,9452,2450,7002,0.34990002856326763,422.63455967290594,0.664972311674112,135.74544948148147,136.0,4.0168028418829556,58.333577528079154,0.0,0.0,0.0,127.79191095313064,104.64482888169978,387.7053586174807,0.9109614958627814,0.8861882089973746,0.9629485995631554,375.729565860398,0.7527973666992336,0.6840223301144446,0.9829968429186411,133.0,136.0,139.0,133.0,136.0,139.0,1.0,1.0,23,23,289,277,0.8072487644151565,0.9802603947921041,0.813355225457186,0.6613586855430831
227631726,864691135942137204,864691135938247989,21344,23P,E,6P-CT,E,11902,6624,5278,1.2550208412277377,448.0071426749364,0.7451778439768992,137.25985955555555,133.0,12.480263321218107,67.159199087995,0.0,0.0,0.0,158.4568392169362,99.04638218128056,295.6248602165112,0.7574677790940338,0.6993737400014411,0.9820279453618801,342.62566378391773,0.8058431964567816,0.7583360058448368,0.9796982173556297,128.0,132.0,148.0,128.0,132.0,148.0,1.0,1.0,55,55,299,357,0.9688459850811759,0.9305359661495064,0.5014516496042134,0.8222817586691763
371103019,864691136194744908,864691135726400063,27424,4P,E,23P,E,10625,5475,5150,1.0631067961165048,474.6173157302028,0.5927228161246152,135.7812962962963,137.0,5.180996452955923,39.26361442130258,0.0,0.0,0.0,24.32947469878853,16.74311538643994,747.0652625257137,0.7998520000636862,0.7467379258147746,0.95992240665138,478.46691500383065,0.8166498191252702,0.763885858780086,0.9745100992265789,133.0,137.0,140.0,133.0,137.0,140.0,1.0,1.0,23,23,65,375,0.43618546845124284,0.9234355388201542,0.5345777357620088,0.8668633533659865
