,syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type
824,21465140,864691135491272167,864691135753678541,3160,23P,E,MC,I
825,387776728,864691135946578724,864691135740508820,3756,4P,E,5P-ET,E
826,448268394,864691136928535263,864691135342041541,7044,6P-IT,E,5P-ET,E
827,147955898,864691135211350720,864691135755513298,9116,6P-IT,E,6P-IT,E
828,430531820,864691136451350015,864691135568594924,2088,6P-IT,E,MC,I
829,368701446,864691136391808639,864691134940908643,28516,6P-IT,E,6P-CT,E
830,465893320,864691135594432043,864691135213702784,4976,23P,E,BC,I
831,1487166,864691134988410490,864691135780842832,4596,23P,E,23P,E
832,219612932,864691135382907883,864691136208991932,1852,6P-IT,E,6P-IT,E
833,114895821,864691136275001741,864691135292611510,5764,6P-CT,E,5P-ET,E
834,189986250,864691135474768448,864691135065177412,192,6P-CT,E,6P-CT,E
835,340225035,864691136032670395,864691135408127945,20160,6P-IT,E,6P-IT,E
836,492357681,864691135367962873,864691135759616701,1108,6P-CT,E,MC,I
837,36840243,864691135572081189,864691135393959669,168,23P,E,23P,E
838,422274026,864691136311779389,864691137020226926,7452,4P,E,BC,I
839,337657368,864691136065239192,864691135939329025,7288,MC,I,4P,E
840,232447099,864691135731707065,864691135361084231,1544,6P-CT,E,BC,I
841,481004674,864691135937992964,864691136419793559,7408,4P,E,BC,I
842,255560650,864691135361087303,864691135208532089,6556,6P-IT,E,6P-IT,E
843,361147012,864691135927651540,864691135100900896,9976,BC,I,6P-IT,E
844,312436992,864691136906761838,864691135778023357,2892,MC,I,23P,E
845,180865408,864691135271251877,864691135946182180,4604,6P-IT,E,6P-IT,E
846,199218433,864691135810107596,864691136378758613,4864,4P,E,4P,E
847,289201059,864691136009517486,864691135463418525,2664,4P,E,4P,E
848,497325002,864691136912615153,864691135561495777,6120,5P-ET,E,6P-IT,E
849,287845730,864691135394748917,864691136864352110,6416,6P-IT,E,MC,I
850,432034769,864691136209021628,864691136553125026,3416,5P-IT,E,6P-IT,E
851,40315095,864691135429360688,864691135800625762,5004,4P,E,4P,E
