syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type,synapse_area,pre_area,post_area,pre_post_ratio,perimeter,circularity,mean_intensity,median_intensity,std_intensity,pre_post_distance,jaccard_index,pre_overlap,post_overlap,major_axis_length,minor_axis_length
461912781,864691135135042585,864691135502944949,15236,4P,E,4P,E,9809,4718,5091,0.9267334511883716,497.2447327281723,0.49853334945245936,131.56510844444443,131.0,5.970909304913206,58.36988794463524,0.0,0.0,0.0,143.1127869262355,95.69671417895903
267757053,864691136618492813,864691135491069799,3732,5P-NP,E,23P,E,4791,3351,1440,2.3270833333333334,352.2558800164656,0.4851985924429212,128.586488,127.0,8.293603897198963,47.73804467637295,0.0,0.0,0.0,100.93924099619082,79.6543280309869
73448607,864691135571379437,864691136273007038,11160,23P,E,23P,E,8682,6251,2431,2.5713698066639243,414.0904037956216,0.6362668739939837,121.77663111111112,120.0,9.169932685172105,50.59365696486108,0.0,0.0,0.0,156.37395019537595,72.6751319090487
490858282,864691136926142282,864691136903050162,4096,6P-IT,E,6P-IT,E,13101,5077,8024,0.6327268195413759,578.0904037956217,0.4926321942516087,134.06826311111112,135.0,8.34941507817532,51.80591550289689,0.0,0.0,0.0,158.95433383950876,118.76528928383433
283121563,864691136391373695,864691136124686374,3396,BC,I,5P-IT,E,19918,9020,10898,0.8276748027160947,586.2081528017131,0.7283697213771454,130.01103762962964,130.0,5.273066289803123,74.24868166163951,0.0,0.0,0.0,175.65929677579155,148.9835222166796
107831500,864691135808307485,864691136297642267,14280,6P-IT,E,6P-IT,E,6964,2753,4211,0.65376395155545,370.19090885901,0.6385826696767004,129.95317925925926,129.0,6.401249817468766,38.71370158644163,0.0,0.0,0.0,106.31580970706052,94.16420257284152
306495355,864691135890141321,864691135633829828,3368,23P,E,MC,I,4791,3667,1124,3.262455516014235,333.4629867976521,0.5414280644623782,129.73115644444445,128.0,6.537132605217049,45.81690644013898,0.0,0.0,0.0,117.2319999486563,59.23238429012648
365024571,864691135684464823,864691135545576232,1176,BC,I,5P-IT,E,16285,4654,11631,0.40013756340813345,596.6761902332486,0.5748045678438028,133.72969777777777,136.0,8.069397543104545,59.231503169524956,0.0,0.0,0.0,164.60839403615978,137.4588556389713
286700350,864691135865499525,864691135367180281,6036,4P,E,BC,I,7330,4832,2498,1.934347477982386,436.53405460951757,0.4833676486789682,133.26334222222224,133.0,7.818850662904993,52.693730973074736,0.0,0.0,0.0,136.46102394771376,84.96526203819708
437098890,864691135777108064,864691136274157069,3432,6P-IT,E,6P-IT,E,4849,3543,1306,2.7128637059724348,298.5868324581534,0.6834720275264047,138.9337908148148,138.0,12.642505039632388,40.66956652870397,0.0,0.0,0.0,90.64765261089377,71.85654735050964
